sen	Polarity	Sentence
neu	1.0	Switch it to your daily driver !
compound	-0.5499	I WILL GO FOR POCO F If it only had .. watching on my Mi A I almost went for this but went for a Poco because it ' s processor is insane Unbox therapy always quality .
neg	0.109	I WILL GO FOR POCO F If it only had .. watching on my Mi A I almost went for this but went for a Poco because it ' s processor is insane Unbox therapy always quality .
neu	0.891	I WILL GO FOR POCO F If it only had .. watching on my Mi A I almost went for this but went for a Poco because it ' s processor is insane Unbox therapy always quality .
compound	-0.5472	No not nice mi a Does works in on Mi A ?
neg	0.393	No not nice mi a Does works in on Mi A ?
neu	0.607	No not nice mi a Does works in on Mi A ?
compound	0.7717	I got one and I love it might not change for or I like it so much Could you do a review on the G ?
neu	0.729	I got one and I love it might not change for or I like it so much Could you do a review on the G ?
pos	0.271	I got one and I love it might not change for or I like it so much Could you do a review on the G ?
compound	0.3804	Very curious of what you think about it .
neu	0.73	Very curious of what you think about it .
pos	0.27	Very curious of what you think about it .
compound	0.4939	Watching in my note pro ..😎😎 Make a video on y pro fingerprint Maybe the honor X is at the same price range 😁😁 Do a video on the f I just order one .
neu	0.894	Watching in my note pro ..😎😎 Make a video on y pro fingerprint Maybe the honor X is at the same price range 😁😁 Do a video on the f I just order one .
pos	0.106	Watching in my note pro ..😎😎 Make a video on y pro fingerprint Maybe the honor X is at the same price range 😁😁 Do a video on the f I just order one .
compound	0.8922	But I am with Freedom mobile hope it works Review plus which also comes with Android one too MI A or F ?
neu	0.638	But I am with Freedom mobile hope it works Review plus which also comes with Android one too MI A or F ?
pos	0.362	But I am with Freedom mobile hope it works Review plus which also comes with Android one too MI A or F ?
neu	1.0	I ' m still .
neu	1.0	bought the blue one for my sister ... it ' s really bang for the price point !
compound	0.4926	note pro Check it Correction about rear camera specification , time stamp : you said + it ' s should be + If he Rapping one day his name should be Unbox The 😂 such a random thought .. review the plus !
neg	0.044	note pro Check it Correction about rear camera specification , time stamp : you said + it ' s should be + If he Rapping one day his name should be Unbox The 😂 such a random thought .. review the plus !
neu	0.861	note pro Check it Correction about rear camera specification , time stamp : you said + it ' s should be + If he Rapping one day his name should be Unbox The 😂 such a random thought .. review the plus !
pos	0.095	note pro Check it Correction about rear camera specification , time stamp : you said + it ' s should be + If he Rapping one day his name should be Unbox The 😂 such a random thought .. review the plus !
neu	1.0	Lee , try plus You are the Joe Rogan of the phone world !
compound	0.4926	Good Review sir !
neu	0.385	Good Review sir !
pos	0.615	Good Review sir !
neu	1.0	In , + Rear Camera Setup .
neu	1.0	watching this from my mi a The project fi of , available in Mi A ?
neu	1.0	Review about ?
neu	1.0	I guess ?
neu	1.0	Personally the A Lite and it a k battery .
compound	0.4404	Its probably better than this .
neu	0.58	Its probably better than this .
pos	0.42	Its probably better than this .
compound	0.5859	We can also consider X / .+ it also comes with android one program , amazing build , , descent camera , large battery , '' `` .
neu	0.833	We can also consider X / .+ it also comes with android one program , amazing build , , descent camera , large battery , '' `` .
pos	0.167	We can also consider X / .+ it also comes with android one program , amazing build , , descent camera , large battery , '' `` .
compound	0.4926	headphone jack '' '' You need a better knife ... Get a ka - bar !
neu	0.775	headphone jack '' '' You need a better knife ... Get a ka - bar !
pos	0.225	headphone jack '' '' You need a better knife ... Get a ka - bar !
neu	1.0	review the note !
neu	1.0	Finally , i Have had it now for .
compound	0.4754	Really nice .
neu	0.244	Really nice .
pos	0.756	Really nice .
compound	0.775	VERY stable and unbelievable bargain .
neu	0.205	VERY stable and unbelievable bargain .
pos	0.795	VERY stable and unbelievable bargain .
compound	0.6858	I am normally only into flagship but for fun I just bought this phone and must say you get around .
neu	0.739	I am normally only into flagship but for fun I just bought this phone and must say you get around .
pos	0.261	I am normally only into flagship but for fun I just bought this phone and must say you get around .
compound	0.2023	flagship in this phone but the price is more than half the price if you compare it to the flagship .
neu	0.865	flagship in this phone but the price is more than half the price if you compare it to the flagship .
pos	0.135	flagship in this phone but the price is more than half the price if you compare it to the flagship .
neu	1.0	This is my first phone BUT NOT the last .
compound	0.3612	Viva Android O My Mi A bend like the , would you trying it ?
neu	0.8	Viva Android O My Mi A bend like the , would you trying it ?
pos	0.2	Viva Android O My Mi A bend like the , would you trying it ?
compound	0.4404	: Feature also the mi lite .. thanks Hey what about .
neu	0.756	: Feature also the mi lite .. thanks Hey what about .
pos	0.244	: Feature also the mi lite .. thanks Hey what about .
compound	0.3612	plus ... What do you think about it , that ' s also android one Does anybody have with sound , like when you record video ...
neu	0.898	plus ... What do you think about it , that ' s also android one Does anybody have with sound , like when you record video ...
pos	0.102	plus ... What do you think about it , that ' s also android one Does anybody have with sound , like when you record video ...
compound	0.3336	I have cause , the sound is n ' t so good I ' been searching for phone ' s on ur channel before but had nothing .
neu	0.878	I have cause , the sound is n ' t so good I ' been searching for phone ' s on ur channel before but had nothing .
pos	0.122	I have cause , the sound is n ' t so good I ' been searching for phone ' s on ur channel before but had nothing .
compound	-0.4341	I was wondering because i mostly see and and i thought ur advertising them , so no for for my conclusion ... And now a was really because u now had up recently .
neg	0.099	I was wondering because i mostly see and and i thought ur advertising them , so no for for my conclusion ... And now a was really because u now had up recently .
neu	0.901	I was wondering because i mostly see and and i thought ur advertising them , so no for for my conclusion ... And now a was really because u now had up recently .
neu	1.0	I was wondering what ' s up that got to ur channel now .
compound	0.3182	I ' been a fan of phone for now .
neu	0.685	I ' been a fan of phone for now .
pos	0.315	I ' been a fan of phone for now .
compound	0.3612	What i like is that .
neu	0.545	What i like is that .
pos	0.455	What i like is that .
neu	1.0	a very big forum for their .
compound	0.659	You can basically chat and ask , contribute for development , support and very easily .
neu	0.671	You can basically chat and ask , contribute for development , support and very easily .
pos	0.329	You can basically chat and ask , contribute for development , support and very easily .
neu	1.0	Moderator , , weekly and , it ' s very interactive and it that really for their .
neu	1.0	Android available .
neu	1.0	My current phone here is and its android version before was , for around month it got to nougat and soon upgrade is coming .
compound	0.4927	s interactive and default android phone is very good .
neu	0.687	s interactive and default android phone is very good .
pos	0.313	s interactive and default android phone is very good .
compound	0.7089	Support is very good base on location .
neu	0.459	Support is very good base on location .
pos	0.541	Support is very good base on location .
compound	0.6369	Seeing this in my mi a lite Love The battery can last longer than my older phone .
neu	0.781	Seeing this in my mi a lite Love The battery can last longer than my older phone .
pos	0.219	Seeing this in my mi a lite Love The battery can last longer than my older phone .
compound	0.5994	😆 Even though i play game , it still can last long .
neu	0.671	😆 Even though i play game , it still can last long .
pos	0.329	😆 Even though i play game , it still can last long .
compound	0.8479	More fun 😉 is great on the lower budget end and definitely than the more notable ' `` budget `` for .
neg	0.074	More fun 😉 is great on the lower budget end and definitely than the more notable ' `` budget `` for .
neu	0.574	More fun 😉 is great on the lower budget end and definitely than the more notable ' `` budget `` for .
pos	0.351	More fun 😉 is great on the lower budget end and definitely than the more notable ' `` budget `` for .
compound	0.8442	watching from mi A lite i honestly feel like ' s mi series is where they shine at They make a good Robot Vacuum Cleaner Pro M ...
neu	0.641	watching from mi A lite i honestly feel like ' s mi series is where they shine at They make a good Robot Vacuum Cleaner Pro M ...
pos	0.359	watching from mi A lite i honestly feel like ' s mi series is where they shine at They make a good Robot Vacuum Cleaner Pro M ...
compound	0.4404	I think this is better than that : Is n ' t the rear camera + ?
neu	0.756	I think this is better than that : Is n ' t the rear camera + ?
pos	0.244	I think this is better than that : Is n ' t the rear camera + ?
compound	0.4404	is it better ’ s SE camera or mi a one ’ s .
neu	0.707	is it better ’ s SE camera or mi a one ’ s .
pos	0.293	is it better ’ s SE camera or mi a one ’ s .
compound	0.3182	Need to know that please 🙏🏽🙏🏽🙏🏽 Can you do a of note pro Correction .. is not pushing the is itself here in this the latest update for August on mi A is battery and speaker volume .
neu	0.937	Need to know that please 🙏🏽🙏🏽🙏🏽 Can you do a of note pro Correction .. is not pushing the is itself here in this the latest update for August on mi A is battery and speaker volume .
pos	0.063	Need to know that please 🙏🏽🙏🏽🙏🏽 Can you do a of note pro Correction .. is not pushing the is itself here in this the latest update for August on mi A is battery and speaker volume .
compound	0.3612	I like the pun on notch with your cap going up and down again .
neu	0.828	I like the pun on notch with your cap going up and down again .
pos	0.172	I like the pun on notch with your cap going up and down again .
neu	1.0	.. dont know if that was not deliberate animation , th of a second Why do n ' t you do a of the Lite Version ?
compound	0.4754	I think the A Lite is more popular then this version ... ...
neu	0.764	I think the A Lite is more popular then this version ... ...
pos	0.236	I think the A Lite is more popular then this version ... ...
compound	0.0772	I want to install custom on my mi A Is this ?
neu	0.86	I want to install custom on my mi A Is this ?
pos	0.14	I want to install custom on my mi A Is this ?
compound	0.6369	Lew is simply the best , period .
neu	0.543	Lew is simply the best , period .
pos	0.457	Lew is simply the best , period .
compound	0.4939	One power The one power is less expensive , appreciable specs on android one I own a Mi A Lite All hail for making good yet not phone .
neu	0.84	One power The one power is less expensive , appreciable specs on android one I own a Mi A Lite All hail for making good yet not phone .
pos	0.16	One power The one power is less expensive , appreciable specs on android one I own a Mi A Lite All hail for making good yet not phone .
neu	1.0	really making other same level brand to think twice before phone or will let them know that .
compound	0.4404	Thats not + setup is + Watched from MI A which one is better mi note pro mi lite mi a ?
neu	0.847	Thats not + setup is + Watched from MI A which one is better mi note pro mi lite mi a ?
pos	0.153	Thats not + setup is + Watched from MI A which one is better mi note pro mi lite mi a ?
neu	1.0	In of camera ?
compound	0.5267	Review the M Nexus replacement = D Mi a pro Please let us know the battery life of mi A as well as camera comparison with poco f .
neu	0.82	Review the M Nexus replacement = D Mi a pro Please let us know the battery life of mi A as well as camera comparison with poco f .
pos	0.18	Review the M Nexus replacement = D Mi a pro Please let us know the battery life of mi A as well as camera comparison with poco f .
compound	0.2023	phon fast n the camera easy even at low light How about the a LITE ?
neg	0.131	phon fast n the camera easy even at low light How about the a LITE ?
neu	0.688	phon fast n the camera easy even at low light How about the a LITE ?
pos	0.181	phon fast n the camera easy even at low light How about the a LITE ?
compound	-0.296	no headphone jack ?
neg	0.524	no headphone jack ?
neu	0.476	no headphone jack ?
compound	-0.296	Rip no one ' s gon na buy it in .
neg	0.239	Rip no one ' s gon na buy it in .
neu	0.761	Rip no one ' s gon na buy it in .
compound	0.8481	I just got the mi a light and it is great Watching on Mi A lite , its awesome : what a coincidence when you say that this thing is actually on sale how much are they paying you Lewis ?
neu	0.796	I just got the mi a light and it is great Watching on Mi A lite , its awesome : what a coincidence when you say that this thing is actually on sale how much are they paying you Lewis ?
pos	0.204	I just got the mi a light and it is great Watching on Mi A lite , its awesome : what a coincidence when you say that this thing is actually on sale how much are they paying you Lewis ?
compound	0.7088	Do comparison between mi a note pro because both are in same price range but a sexy All the series is Android one Antes el , excelente !
neu	0.825	Do comparison between mi a note pro because both are in same price range but a sexy All the series is Android one Antes el , excelente !
pos	0.175	Do comparison between mi a note pro because both are in same price range but a sexy All the series is Android one Antes el , excelente !
compound	-0.4466	al me , lo , el fin , .. made a video NOVA I ... NO point this when you can get a poco f for us more .
neg	0.128	al me , lo , el fin , .. made a video NOVA I ... NO point this when you can get a poco f for us more .
neu	0.872	al me , lo , el fin , .. made a video NOVA I ... NO point this when you can get a poco f for us more .
compound	-0.296	No point .
neg	0.688	No point .
neu	0.312	No point .
neu	1.0	with themselves .
compound	0.2714	Try pro m Yes like your channel so much Just got my A and hell yeah !
neg	0.206	Try pro m Yes like your channel so much Just got my A and hell yeah !
neu	0.449	Try pro m Yes like your channel so much Just got my A and hell yeah !
pos	0.345	Try pro m Yes like your channel so much Just got my A and hell yeah !
compound	0.7506	For a super budget conscious person like me .
neu	0.439	For a super budget conscious person like me .
pos	0.561	For a super budget conscious person like me .
neu	1.0	BANG FOR THE !
compound	-0.4019	The only problem is .
neg	0.474	The only problem is .
neu	0.526	The only problem is .
compound	0.5719	headphone jack or it would be perfect .
neu	0.619	headphone jack or it would be perfect .
pos	0.381	headphone jack or it would be perfect .
compound	0.6369	And I love screen .
neu	0.323	And I love screen .
pos	0.677	And I love screen .
compound	0.4926	: that one was for apple i guess 😂 Battery did not last very long s the of this phone !
neg	0.076	: that one was for apple i guess 😂 Battery did not last very long s the of this phone !
neu	0.76	: that one was for apple i guess 😂 Battery did not last very long s the of this phone !
pos	0.164	: that one was for apple i guess 😂 Battery did not last very long s the of this phone !
neu	1.0	For more , You can get the Hey just saying !
neu	1.0	Just you .
compound	0.4404	You ' re doing good job .
neu	0.58	You ' re doing good job .
pos	0.42	You ' re doing good job .
compound	0.6369	Can you please do the s Mi A or Mi A lite is better ?
neu	0.634	Can you please do the s Mi A or Mi A lite is better ?
pos	0.366	Can you please do the s Mi A or Mi A lite is better ?
compound	0.4404	H do an of Plus Review the Plus / Mi note pro is way better in then A all + before .
neu	0.847	H do an of Plus Review the Plus / Mi note pro is way better in then A all + before .
pos	0.153	H do an of Plus Review the Plus / Mi note pro is way better in then A all + before .
compound	0.3182	now poco for sure .
neu	0.566	now poco for sure .
pos	0.434	now poco for sure .
compound	0.3802	i was initially gon na buy Mi A until i of F Please do mi a lite !
neu	0.809	i was initially gon na buy Mi A until i of F Please do mi a lite !
pos	0.191	i was initially gon na buy Mi A until i of F Please do mi a lite !
compound	0.3802	PLEASE !
pos	1.0	PLEASE !
compound	-0.296	pro m ram No jack and a battery biggest let down .
neg	0.216	pro m ram No jack and a battery biggest let down .
neu	0.784	pro m ram No jack and a battery biggest let down .
neu	1.0	pro m or mi a ?
compound	-0.5267	did n ' t you check new My d be lost if you cut he ' s arms off I would prefer the note you did n ' t use the toy man for the camera test .
neg	0.15	did n ' t you check new My d be lost if you cut he ' s arms off I would prefer the note you did n ' t use the toy man for the camera test .
neu	0.85	did n ' t you check new My d be lost if you cut he ' s arms off I would prefer the note you did n ' t use the toy man for the camera test .
compound	0.2263	Is it worth to upgrade from s ?
neu	0.725	Is it worth to upgrade from s ?
pos	0.275	Is it worth to upgrade from s ?
compound	0.4404	Watching on my Mi A Lite should i buy this phone or the lite version whats better ?
neu	0.828	Watching on my Mi A Lite should i buy this phone or the lite version whats better ?
pos	0.172	Watching on my Mi A Lite should i buy this phone or the lite version whats better ?
neu	1.0	plus Watching on poco f Could you do a switching video with this ?
neu	1.0	Just ordered this one .
compound	0.6962	I ' m really excited Mi a nice display .
neu	0.343	I ' m really excited Mi a nice display .
pos	0.657	I ' m really excited Mi a nice display .
neu	1.0	Power full .
compound	0.3182	plus review please .
neu	0.465	plus review please .
pos	0.535	plus review please .
neu	1.0	Who ' s watching this video on a Mi A ?
compound	0.4404	Which one better : / Mi A or / plus ?
neu	0.633	Which one better : / Mi A or / plus ?
pos	0.367	Which one better : / Mi A or / plus ?
neu	1.0	Mi a Dual Camera Setup + not + !
neu	1.0	u must go and check the note pro the most sold mobile of ... Why Lew does n ' t review ?
compound	0.6249	Yeah It is a good deal .
neu	0.37	Yeah It is a good deal .
pos	0.63	Yeah It is a good deal .
compound	0.5927	But You do n ' t think that ' s good deal already have done with A ?
neu	0.722	But You do n ' t think that ' s good deal already have done with A ?
pos	0.278	But You do n ' t think that ' s good deal already have done with A ?
compound	-0.7213	one power is mi A KILLER You should do of What about pro M ?
neg	0.314	one power is mi A KILLER You should do of What about pro M ?
neu	0.686	one power is mi A KILLER You should do of What about pro M ?
compound	0.4404	Note is also a good option .
neu	0.58	Note is also a good option .
pos	0.42	Note is also a good option .
neu	1.0	port and Card or .
neu	1.0	a tho .
compound	0.4404	this is such a good Any A with the battery drain allegedly by the fingerprint sensor ?
neu	0.818	this is such a good Any A with the battery drain allegedly by the fingerprint sensor ?
pos	0.182	this is such a good Any A with the battery drain allegedly by the fingerprint sensor ?
compound	0.296	I like the aggressiveness that you showcase in your presentation Can u do one on the recent android one like one power and .
neg	0.109	I like the aggressiveness that you showcase in your presentation Can u do one on the recent android one like one power and .
neu	0.698	I like the aggressiveness that you showcase in your presentation Can u do one on the recent android one like one power and .
pos	0.194	I like the aggressiveness that you showcase in your presentation Can u do one on the recent android one like one power and .
compound	0.7778	plus please I would really love with front facing again A lite review ?
neu	0.57	plus please I would really love with front facing again A lite review ?
pos	0.43	plus please I would really love with front facing again A lite review ?
compound	0.3612	Rear camera is + setup Can this phone handle heavy like or Asphalt ?
neu	0.815	Rear camera is + setup Can this phone handle heavy like or Asphalt ?
pos	0.185	Rear camera is + setup Can this phone handle heavy like or Asphalt ?
neu	1.0	Watching on mi a ...
compound	0.7964	It ' s good and I ' had it for I was just thinking about this phone and your video as if by magic ... Mi is and budget phone and i love to use Review .
neu	0.798	It ' s good and I ' had it for I was just thinking about this phone and your video as if by magic ... Mi is and budget phone and i love to use Review .
pos	0.202	It ' s good and I ' had it for I was just thinking about this phone and your video as if by magic ... Mi is and budget phone and i love to use Review .
compound	0.3612	Plus I like the speaker on this phon still needs more work I got poco f today in sale .. 😱😱 I ' m watching this video in mi A .
neu	0.898	Plus I like the speaker on this phon still needs more work I got poco f today in sale .. 😱😱 I ' m watching this video in mi A .
pos	0.102	Plus I like the speaker on this phon still needs more work I got poco f today in sale .. 😱😱 I ' m watching this video in mi A .
compound	0.4588	😁 what is the back ground ?
neu	0.75	😁 what is the back ground ?
pos	0.25	😁 what is the back ground ?
compound	0.7118	Watching this phone on my mi a SUPER !
neu	0.549	Watching this phone on my mi a SUPER !
pos	0.451	Watching this phone on my mi a SUPER !
compound	0.6027	I use since s and then , , x and now All are GOOD ENOUGH !
neu	0.696	I use since s and then , , x and now All are GOOD ENOUGH !
pos	0.304	I use since s and then , , x and now All are GOOD ENOUGH !
compound	0.3818	and not overprice actually .. 😘😘😘😘😘😘 Greeting from a Custom Pie on my Note Pro .
neu	0.833	and not overprice actually .. 😘😘😘😘😘😘 Greeting from a Custom Pie on my Note Pro .
pos	0.167	and not overprice actually .. 😘😘😘😘😘😘 Greeting from a Custom Pie on my Note Pro .
compound	0.5994	Loving it so far : D you test the music is what music How about the MI A Lite Cant buy anything i have You should review the One Power ...
neu	0.87	Loving it so far : D you test the music is what music How about the MI A Lite Cant buy anything i have You should review the One Power ...
pos	0.13	Loving it so far : D you test the music is what music How about the MI A Lite Cant buy anything i have You should review the One Power ...
neu	1.0	I am thinking of switching back to an Android device from my .
compound	0.7269	I want something that good video and a good .
neu	0.36	I want something that good video and a good .
pos	0.64	I want something that good video and a good .
neu	1.0	Do you have a video I should watch ?
neu	1.0	If it does n ' t have a headphone jack , I ' m not it I just ordered this phone based on this review .
neu	1.0	I ' m from a gen .
neu	1.0	+ : Why do n ' t you review .+ unbox therapy !
compound	0.4939	☺️👍 mi a or honor x Bought it also and I would say it ' s bang for a buck phone .
neu	0.814	☺️👍 mi a or honor x Bought it also and I would say it ' s bang for a buck phone .
pos	0.186	☺️👍 mi a or honor x Bought it also and I would say it ' s bang for a buck phone .
compound	-0.0516	You pay less but get more .
neg	0.194	You pay less but get more .
neu	0.806	You pay less but get more .
neu	1.0	Mi mix ?
compound	-0.3612	We need that talk about a hey Lew , do n ' t be too lazy .
neg	0.2	We need that talk about a hey Lew , do n ' t be too lazy .
neu	0.8	We need that talk about a hey Lew , do n ' t be too lazy .
neu	1.0	Do some outdoor shooting with the phone camera .
compound	0.4754	It ' s really easier to compare and analyze the camera quality that way .
neu	0.781	It ' s really easier to compare and analyze the camera quality that way .
pos	0.219	It ' s really easier to compare and analyze the camera quality that way .
compound	-0.3182	Every time the same plant is too boring and does not justify the camera performance in outdoor indoor .
neg	0.119	Every time the same plant is too boring and does not justify the camera performance in outdoor indoor .
neu	0.881	Every time the same plant is too boring and does not justify the camera performance in outdoor indoor .
compound	-0.2411	Unbox pro m What of the in 🤔 Whats the music , where he the speaker Headphone jack is not cool Its plus camera Note Pro Try taking a .
neg	0.07	Unbox pro m What of the in 🤔 Whats the music , where he the speaker Headphone jack is not cool Its plus camera Note Pro Try taking a .
neu	0.93	Unbox pro m What of the in 🤔 Whats the music , where he the speaker Headphone jack is not cool Its plus camera Note Pro Try taking a .
compound	0.3612	I it on lightroom and it like RAW .
neu	0.706	I it on lightroom and it like RAW .
pos	0.294	I it on lightroom and it like RAW .
compound	0.3612	I was like , dude .
neu	0.444	I was like , dude .
pos	0.556	I was like , dude .
neu	1.0	Try the Pro M Dual camera setup + .
compound	0.2732	Surprising fact It gorilla glass and + here in .
neu	0.769	Surprising fact It gorilla glass and + here in .
pos	0.231	Surprising fact It gorilla glass and + here in .
compound	-0.1906	It lot of value but certainly not the best bang for your when there is poco f .
neg	0.204	It lot of value but certainly not the best bang for your when there is poco f .
neu	0.582	It lot of value but certainly not the best bang for your when there is poco f .
pos	0.215	It lot of value but certainly not the best bang for your when there is poco f .
compound	0.6597	settlement achieve statistics print summit appreciate deal barrel gym visit evidence aide Does it support fast charging ?
neu	0.735	settlement achieve statistics print summit appreciate deal barrel gym visit evidence aide Does it support fast charging ?
pos	0.265	settlement achieve statistics print summit appreciate deal barrel gym visit evidence aide Does it support fast charging ?
neu	1.0	And so as a lite .
compound	0.2577	I WANT A PHONE 😢🙏🙏🙏 I got the A Lite for .
neu	0.747	I WANT A PHONE 😢🙏🙏🙏 I got the A Lite for .
pos	0.253	I WANT A PHONE 😢🙏🙏🙏 I got the A Lite for .
neu	1.0	Ca n ' t beat that .
compound	0.7269	Cool phone in this point Please please please cut that background music off your .
neg	0.103	Cool phone in this point Please please please cut that background music off your .
neu	0.443	Cool phone in this point Please please please cut that background music off your .
pos	0.453	Cool phone in this point Please please please cut that background music off your .
compound	0.4404	Your voice is good enough .
neu	0.58	Your voice is good enough .
pos	0.42	Your voice is good enough .
neu	1.0	Mi A or note pro ?
neu	1.0	The camera is + rear camera .
compound	0.6369	Best mid - range camera phone .
neu	0.488	Best mid - range camera phone .
pos	0.512	Best mid - range camera phone .
compound	0.6705	After much of apple I was going to android again with the honor view Please do review of .+.🙏🙏 Anyone tried `` '' ?
neu	0.784	After much of apple I was going to android again with the honor view Please do review of .+.🙏🙏 Anyone tried `` '' ?
pos	0.216	After much of apple I was going to android again with the honor view Please do review of .+.🙏🙏 Anyone tried `` '' ?
neu	1.0	I only came here to find out how to pronounce .
compound	0.7056	the rear camera is not + ... it ' s + than this a very nice review 😃 Saw this video on Mi A : how does this compare to the .
neu	0.816	the rear camera is not + ... it ' s + than this a very nice review 😃 Saw this video on Mi A : how does this compare to the .
pos	0.184	the rear camera is not + ... it ' s + than this a very nice review 😃 Saw this video on Mi A : how does this compare to the .
neu	1.0	i ' m as my daily driver , but for about two days i have second mobile phone Mi A .
compound	0.8132	Phone is fantastic , but do not know how did you do so good .
neu	0.597	Phone is fantastic , but do not know how did you do so good .
pos	0.403	Phone is fantastic , but do not know how did you do so good .
neu	1.0	Mine A can not do this .
neu	1.0	Pro M and M This made me buy the MI A .
compound	0.184	SONG USED TO TEST OUT THE AUDIO Petrified by ENJOY !
neg	0.223	SONG USED TO TEST OUT THE AUDIO Petrified by ENJOY !
neu	0.509	SONG USED TO TEST OUT THE AUDIO Petrified by ENJOY !
pos	0.269	SONG USED TO TEST OUT THE AUDIO Petrified by ENJOY !
compound	-0.296	No man .
neg	0.688	No man .
neu	0.312	No man .
neu	1.0	You did ' t check the audio quality .
neu	1.0	I just bought this device .
compound	-0.6249	Worst quality audio even in too .
neg	0.451	Worst quality audio even in too .
neu	0.549	Worst quality audio even in too .
compound	0.7845	I have with Mi A year ago , and simply to love experience and support .
neu	0.592	I have with Mi A year ago , and simply to love experience and support .
pos	0.408	I have with Mi A year ago , and simply to love experience and support .
compound	0.5976	About week ago I ' bought Mi A and now I ' m learning my grandma to use it and it ' s on a great way : D : is a great program , Sadly Mi A no jack for and no slot for , but it ' s not a problem with internal space and it comes with port for , or you can just do a step forward and use a one .
neg	0.085	About week ago I ' bought Mi A and now I ' m learning my grandma to use it and it ' s on a great way : D : is a great program , Sadly Mi A no jack for and no slot for , but it ' s not a problem with internal space and it comes with port for , or you can just do a step forward and use a one .
neu	0.782	About week ago I ' bought Mi A and now I ' m learning my grandma to use it and it ' s on a great way : D : is a great program , Sadly Mi A no jack for and no slot for , but it ' s not a problem with internal space and it comes with port for , or you can just do a step forward and use a one .
pos	0.133	About week ago I ' bought Mi A and now I ' m learning my grandma to use it and it ' s on a great way : D : is a great program , Sadly Mi A no jack for and no slot for , but it ' s not a problem with internal space and it comes with port for , or you can just do a step forward and use a one .
compound	0.7003	The camera for all you review are much better than from everyday use , thanks to the studio lighting you ' got there .
neu	0.766	The camera for all you review are much better than from everyday use , thanks to the studio lighting you ' got there .
pos	0.234	The camera for all you review are much better than from everyday use , thanks to the studio lighting you ' got there .
neu	1.0	Is there any way to have both the charge cable and / / whatever plugged in at the same time in this device ?
compound	0.8169	great video , very helpful !
neu	0.211	great video , very helpful !
pos	0.789	great video , very helpful !
neu	1.0	Keep up !
compound	0.3612	like intended , hardware like apple intended Do a on galaxy a but I a mi a lite They should have included a protector I have n ' t used it for a month and many little scratches on it .
neu	0.881	like intended , hardware like apple intended Do a on galaxy a but I a mi a lite They should have included a protector I have n ' t used it for a month and many little scratches on it .
pos	0.119	like intended , hardware like apple intended Do a on galaxy a but I a mi a lite They should have included a protector I have n ' t used it for a month and many little scratches on it .
compound	-0.8519	take a shot every time he the table Lew , is his channel `` '' about three of which are : - Poor calling sound quality , - Poor audio when recording a video and - Poor video recording .
neg	0.249	take a shot every time he the table Lew , is his channel `` '' about three of which are : - Poor calling sound quality , - Poor audio when recording a video and - Poor video recording .
neu	0.751	take a shot every time he the table Lew , is his channel `` '' about three of which are : - Poor calling sound quality , - Poor audio when recording a video and - Poor video recording .
compound	0.3182	Can you elaborate on those please ?
neu	0.685	Can you elaborate on those please ?
pos	0.315	Can you elaborate on those please ?
neu	1.0	I from to mi a gold do review Pro I have the higher version with / .
neu	1.0	It ' s a beast !
compound	0.8807	Watching on my Mi A 😊 Android one is the best how to earn subscriber I know that the rear cam is + It do have android one ...
neu	0.726	Watching on my Mi A 😊 Android one is the best how to earn subscriber I know that the rear cam is + It do have android one ...
pos	0.274	Watching on my Mi A 😊 Android one is the best how to earn subscriber I know that the rear cam is + It do have android one ...
compound	0.2263	I swear to god if i see Van here again What about Mi A Lite ?
neg	0.09	I swear to god if i see Van here again What about Mi A Lite ?
neu	0.752	I swear to god if i see Van here again What about Mi A Lite ?
pos	0.158	I swear to god if i see Van here again What about Mi A Lite ?
neu	1.0	Is that phone compatible with US ?
compound	0.1531	yeah pro is and a front camera but i dont know why the front camera of poco f is very dimmer to .
neu	0.918	yeah pro is and a front camera but i dont know why the front camera of poco f is very dimmer to .
pos	0.082	yeah pro is and a front camera but i dont know why the front camera of poco f is very dimmer to .
neu	1.0	Its very .
compound	0.8402	But I confidently say that pro is far better than poco f except gaming .
neu	0.556	But I confidently say that pro is far better than poco f except gaming .
pos	0.444	But I confidently say that pro is far better than poco f except gaming .
compound	-0.4019	Recently was Damn .
neg	0.574	Recently was Damn .
neu	0.426	Recently was Damn .
compound	0.4019	I wish I have money .
neu	0.426	I wish I have money .
pos	0.574	I wish I have money .
compound	0.4404	There is a better phone i guess pro m .. You should check that out and make a video .
neu	0.828	There is a better phone i guess pro m .. You should check that out and make a video .
pos	0.172	There is a better phone i guess pro m .. You should check that out and make a video .
neu	1.0	Mine is note pro He said the camera setup is + when he test the camera but it actually + camera as it on the box Finally settled down on the Mi A model .
compound	0.8126	I ' m loving the phone so far and is far superior to the s I had .
neu	0.575	I ' m loving the phone so far and is far superior to the s I had .
pos	0.425	I ' m loving the phone so far and is far superior to the s I had .
neu	1.0	is US !
compound	0.6696	Insert your I see this video from the mi a and this is the best phone ever !
neu	0.757	Insert your I see this video from the mi a and this is the best phone ever !
pos	0.243	Insert your I see this video from the mi a and this is the best phone ever !
neu	1.0	Here it but I still got it here in tech is too expensive I ' m watching this on A lite make a video on real Review .
compound	0.6696	plus Watching this on my note Pro love brand !
neu	0.64	plus Watching this on my note Pro love brand !
pos	0.36	plus Watching this on my note Pro love brand !
